timestamp, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/02/07 19:00:16.298, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:21.299, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:26.300, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:31.300, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:36.301, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:41.301, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:46.302, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:51.303, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:56.303, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:01.304, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:06.304, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:11.305, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:16.305, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:21.306, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:26.306, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:31.307, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:36.308, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:41.308, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:46.309, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:51.309, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:01:56.310, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
